token_id,name,description,owner,image_url,animation_url,contract_address,chain,token_standard,traits,trait_count,rarity_score,last_sale_price,last_sale_date,current_listing_price,listing_currency,is_listed,rarity_rank
9996,CryptoPunk #9996,,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/33a2edbab32186a6323fcded492028/8933a2edbab32186a6323fcded492028.png,,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,,cryptopunks,[],0,0,,,,,False,4997.5
9980,CryptoPunk #9980,,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/25d188dcfa0d9e166dcaa1f32ad1df/b525d188dcfa0d9e166dcaa1f32ad1df.png,,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,,cryptopunks,[],0,0,,,,,False,4997.5
9977,CryptoPunk #9977,,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/dacbde73544cc7056a61d3cf1361cd/a7dacbde73544cc7056a61d3cf1361cd.png,,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,,cryptopunks,[],0,0,,,,,False,4997.5
9958,CryptoPunk #9958,,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/2195058de8bd5ea063866e903630fc/752195058de8bd5ea063866e903630fc.png,,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,,cryptopunks,[],0,0,,,,,False,4997.5
9965,CryptoPunk #9965,,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/7c7cad5dae074cd359d8513ff875fe/637c7cad5dae074cd359d8513ff875fe.png,,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,,cryptopunks,[],0,0,,,,,False,4997.5
9985,CryptoPunk #9985,,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/a36920499cb8a308e3154006df4178/7ea36920499cb8a308e3154006df4178.png,,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,,cryptopunks,[],0,0,,,,,False,4997.5
9963,CryptoPunk #9963,,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/e3da2b04f4ca7d6c39eb304953e68c/82e3da2b04f4ca7d6c39eb304953e68c.png,,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,,cryptopunks,[],0,0,,,,,False,4997.5
9973,CryptoPunk #9973,,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/ffd0e8d5fce23f34ddb2e99a77605a/cbffd0e8d5fce23f34ddb2e99a77605a.png,,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,,cryptopunks,[],0,0,,,,,False,4997.5
9974,CryptoPunk #9974,,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/0823a2b7b1a7eab5badfac16aaeae4/fc0823a2b7b1a7eab5badfac16aaeae4.png,,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,,cryptopunks,[],0,0,,,,,False,4997.5
9990,CryptoPunk #9990,,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/254e95124b65176e4f86a95d4773e1/47254e95124b65176e4f86a95d4773e1.png,,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,,cryptopunks,[],0,0,,,,,False,4997.5
9979,CryptoPunk #9979,,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/ba17fb53b523e30a86faf6b1ecf2c1/5aba17fb53b523e30a86faf6b1ecf2c1.png,,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,,cryptopunks,[],0,0,,,,,False,4997.5
